Name,Symbol
AKASTOR,AKAST
AKER BP,AKRBP
AKER CARBON CAPTUR,ACC
AKER SOLUTIONS,AKSO
ARCHER,ARCH
AWILCO DRILLING,AWDR
BORR DRILLING,BORR
BW ENERGY LIMITED,BWE
BW IDEOL,BWIDL
BW OFFSHORE LTD,BWO
CARBON TRANSITION,CARBN
DEEP VALUE DRILLER,DVD
DNO,DNO
DOF,DOF
EIDESVIK OFFSHORE,EIOF
ELECTROMAGNET GEO,EMGS
EQUINOR,EQNR
EVERFUEL,EFUEL
GOLDEN ENERGY OFF,GEOS
HAVILA SHIPPING,HAVI
HORISONT ENERGI,HRGI
HUNTER GROUP,HUNT
HYDROGENPRO,HYPRO
HYNION,HYN
INTEGRATED WIND SO,IWS
INTEROIL EXPL PROD,IOX
KYOTO GROUP,KYOTO
MAGNORA,MGN
MAGSEIS FAIRFIELD,MSEIS
NEL,NEL
NETOIL CAPITAL,NOC
NORTH ENERGY,NORTH
NORTHERN DRILLING,NODL
NORTHERN OCEAN LTD,NOL
NORWEGIAN ENERGY,NOR
OCEAN SUN,OSUN
OCEANTEAM,OTS
ODFJELL DRILLING,ODL
OKEA,OKEA
PANORO ENERGY,PEN
PETROLIA,PSE
PETRONOR E&P LTD,PNOR
PGS,PGS
PROSAFE,PRS
QUESTERRE ENERGY,QEC
RAK PETROLEUM,RAKP
REACH SUBSEA,REACH
SCANA,SCANA
SCATEC,SCATC
SD STAND DRILLING,SDSD
SEABIRD EXPLORAT,GEG
SEADRILL,SDRL
SEAWAY 7,SEAW7
SHELF DRILLING,SHLF
SIEM OFFSHORE,SIOFF
SOLSTAD OFFSHORE,SOFF
SUBSEA 7,SUBC
TECO 2030,TECO
TGS,TGS
ZENITH ENERGY,ZENA
