Name,Symbol
AASEN SPAREBANK,AASB
ABG SUNDAL COLLIER,ABG
AEGA,AEGA
AKER,AKER
ARENDALS FOSSEKOMP,AFK
AURSKOG SPAREBANK,AURG
AXACTOR,ACR
B2HOLDING,B2H
BANK NORWEGIAN,BANO
BRABANK,BRA
DNB BANK,DNB
EAM SOLAR,EAM
GJENSIDIGE FORSIKR,GJF
HØLAND OG SETSKOG,HSPG
INSR INSURANCE GP,INSR
INSTABANK,INSTA
JÆREN SPAREBANK,JAREN
KOMPLETT BANK,KOMP
KRAFT BANK,KRAB
MELHUS SPAREBANK,MELG
NIDAROS SPAREBANK,NISB
PARETO BANK,PARB
PROTECTOR FORSIKRG,PROT
ROMSDAL SPAREBANK,ROMSB
SANDNES SPAREBANK,SADG
SBANKEN,SBANK
SKUE SPAREBANK,SKUE
SOGN SPAREBANK,SOGN
SPARBNK 68 GR NORD,SB68
SPAREBANK 1 SMN,MING
SPAREBANK 1 SR-BK,SRBNK
SPAREBANK 1 SØRØ,SOON
SPAREBANKEN MØRE,MORG
SPAREBANKEN SØR,SOR
SPAREBANKEN VEST,SVEG
SPAREBANKEN ØST,SPOG
SPBK 1 NORDMØRE,SNOR
SPBK 1 ØSTLANDET,SPOL
SPBK1 HELGELAND,HELG
SPBK1 NORD-NORGE,NONG
SPBK1 RINGERIKE,RING
SPBK1 ØSTFOLD AKE,SOAG
STOREBRAND,STB
TOTENS SPAREBANK,TOTG
TREASURE,TRE
VOSS VEKSEL OGLAND,VVL
