Name,Symbol
2020 BULKERS,2020
ADS MARITIME HOLD,ADS
AF GRUPPEN,AFG
AIRTHINGS,AIRX
AKVA GROUP,AKVA
AMERICAN SHIPPING,AMSC
AQUALISBRAEMAR LOC,AQUA
ARGEO,ARGEO
AUTOSTORE HOLDINGS,AUTO
AVANCE GAS HOLDING,AGAS
AWILCO LNG,ALNG
AYFIE GROUP,AYFIE
BELSHIPS,BELCO
BEWI,BEWI
BONHEUR,BONHR
BORGESTAD,BOR
BW Epic Kosan,BWEK
BW LPG,BWLPG
BYGGMA,BMA
CADELER,CADLR
CAMBI,CAMBI
ECIT AS B-AKSJER,ECIT
ELOP,ELOP
ELOPAK,ELO
ENDÚR,ENDUR
ENSURGE MICROPOWER,ENSU
ENVIPCO HOLDING,ENVIP
FLEX LNG,FLNG
FRONTLINE,FRO
FRØY,FROY
GC RIEBER SHIPPING,RISH
GOLDEN OCEAN GROUP,GOGL
GOODTECH,GOD
HAFNIA LIMITED,HAFNI
HAV GROUP,HAV
HAVYARD GROUP,HYARD
HEXAGON COMPOSITES,HEX
HEXAGON PURUS,HPUR
IDEX BIOMETRICS,IDEX
JINHUI SHIPP TRANS,JIN
KITRON,KIT
KLAVENESS COMBINAT,KCC
KONGSBERG GRUPPEN,KOG
MELTWATER,MWTR
MPC CONTAINER SHIP,MPCC
MULTICONSULT,MULTI
NEKKAR,NKR
NORBIT,NORBT
NORDIC UNMANNED,NUMND
NRC GROUP,NRC
NTS,NTS
OCEAN YIELD,OCY
ODFJELL SER. A,ODF
ODFJELL SER. B,ODFB
OKEANIS ECO TANKER,OET
PHILLY SHIPYARD,PHLY
Q-FREE,QFR
SAGA PURE,SAGA
STOLT-NIELSEN,SNI
TOMRA SYSTEMS,TOM
VEIDEKKE,VEI
VOW,VOW
WALLENIUS WILHELMS,WAWI
WESTERN BULK CHART,WEST
WILH. WILHELMSEN A,WWI
WILH. WILHELMSEN B,WWIB
WILSON,WILS
ZAPTEC,ZAP
ZWIPE,ZWIPE
