Name,Symbol
AKER BIOMARINE,AKBM
ANDFJORD SALMON,ANDF
ANORA GROUP,ANORA
AQUA BIO TECHNO,ABT
ARCTIC BIOSCIENCE,ABS
ARCTIC FISH HOLDIN,AFISH
ATLANTIC SAPPHIRE,ASA
AUSTEVOLL SEAFOOD,AUSS
BAKKAFROST,BAKKA
BARRAMUNDI GROUP,BARRA
BIOFISH HOLDING,BFISH
CLEAN SEAS SEAFOOD,CSS
GIGANTE SALMON,GIGA
GRIEG SEAFOOD,GSF
HOFSETH BIOCARE,HBC
ICE FISH FARM,IFISH
ICELANDIC SALMON,ISLAX
KALERA,KAL
LERØY SEAFOOD GP,LSG
MÅSØVAL,MAS
MOWI,MOWI
NORCOD,NCOD
NORDIC AQUA PART,NOAP
NORDIC HALIBUT,NOHAL
NORWAY ROYALSALMON,NRS
ORKLA,ORK
PROXIMAR SEAFOOD,PROXI
SALMAR,SALM
SALMON EVOLUTION,SALME
SALMONES CAMANCH,SACAM
STATT TORSK,STATT
THE KINGFISH COMP,KING
